codigo_estacion,region,altura,latitud,longitud,anio,mes,dia,agua_caida,fecha
170001,15,4084,-17.595,-69.4775,2023,7,7,,2023-07-07
170001,15,4084,-17.595,-69.4775,2023,7,8,,2023-07-08
170001,15,4084,-17.595,-69.4775,2023,7,9,,2023-07-09
170001,15,4084,-17.595,-69.4775,2023,7,10,,2023-07-10
170001,15,4084,-17.595,-69.4775,2023,7,11,,2023-07-11
170001,15,4084,-17.595,-69.4775,2023,7,12,,2023-07-12
170001,15,4084,-17.595,-69.4775,2023,7,13,,2023-07-13
170001,15,4084,-17.595,-69.4775,2023,7,14,,2023-07-14
170001,15,4084,-17.595,-69.4775,2023,7,15,,2023-07-15
170001,15,4084,-17.595,-69.4775,2023,7,16,,2023-07-16
170001,15,4084,-17.595,-69.4775,2023,7,17,,2023-07-17
170001,15,4084,-17.595,-69.4775,2023,7,18,,2023-07-18
170001,15,4084,-17.595,-69.4775,2023,7,19,,2023-07-19
170001,15,4084,-17.595,-69.4775,2023,7,20,,2023-07-20
170001,15,4084,-17.595,-69.4775,2023,7,21,,2023-07-21
170001,15,4084,-17.595,-69.4775,2023,7,22,,2023-07-22
170001,15,4084,-17.595,-69.4775,2023,7,23,,2023-07-23
170001,15,4084,-17.595,-69.4775,2023,7,24,,2023-07-24
170001,15,4084,-17.595,-69.4775,2023,7,25,,2023-07-25
170001,15,4084,-17.595,-69.4775,2023,7,26,,2023-07-26
170001,15,4084,-17.595,-69.4775,2023,7,27,,2023-07-27
170001,15,4084,-17.595,-69.4775,2023,7,28,,2023-07-28
170001,15,4084,-17.595,-69.4775,2023,7,29,,2023-07-29
170001,15,4084,-17.595,-69.4775,2023,7,30,,2023-07-30
170001,15,4084,-17.595,-69.4775,2023,7,31,,2023-07-31
170001,15,4084,-17.595,-69.4775,2023,8,1,,2023-08-01
170001,15,4084,-17.595,-69.4775,2023,8,2,,2023-08-02
170001,15,4084,-17.595,-69.4775,2023,8,3,,2023-08-03
170001,15,4084,-17.595,-69.4775,2023,8,4,,2023-08-04
170001,15,4084,-17.595,-69.4775,2023,8,5,,2023-08-05
170001,15,4084,-17.595,-69.4775,2023,8,6,,2023-08-06
170001,15,4084,-17.595,-69.4775,2023,8,7,,2023-08-07
170001,15,4084,-17.595,-69.4775,2023,8,8,,2023-08-08
170001,15,4084,-17.595,-69.4775,2023,8,9,,2023-08-09
170001,15,4084,-17.595,-69.4775,2023,8,10,,2023-08-10
170001,15,4084,-17.595,-69.4775,2023,8,11,,2023-08-11
170001,15,4084,-17.595,-69.4775,2023,8,12,,2023-08-12
170001,15,4084,-17.595,-69.4775,2023,8,13,,2023-08-13
170001,15,4084,-17.595,-69.4775,2023,8,14,,2023-08-14
170001,15,4084,-17.595,-69.4775,2023,8,15,,2023-08-15
170001,15,4084,-17.595,-69.4775,2023,8,16,,2023-08-16
170001,15,4084,-17.595,-69.4775,2023,8,17,,2023-08-17
170001,15,4084,-17.595,-69.4775,2023,8,18,,2023-08-18
170001,15,4084,-17.595,-69.4775,2023,8,19,,2023-08-19
170001,15,4084,-17.595,-69.4775,2023,8,20,,2023-08-20
170001,15,4084,-17.595,-69.4775,2023,8,21,,2023-08-21
170001,15,4084,-17.595,-69.4775,2023,8,22,,2023-08-22
170001,15,4084,-17.595,-69.4775,2023,8,23,,2023-08-23
170001,15,4084,-17.595,-69.4775,2023,8,24,,2023-08-24
170001,15,4084,-17.595,-69.4775,2023,8,25,,2023-08-25
170001,15,4084,-17.595,-69.4775,2023,8,26,,2023-08-26
170001,15,4084,-17.595,-69.4775,2023,8,27,,2023-08-27
170001,15,4084,-17.595,-69.4775,2023,8,28,,2023-08-28
170001,15,4084,-17.595,-69.4775,2023,8,29,,2023-08-29
170001,15,4084,-17.595,-69.4775,2023,8,30,,2023-08-30
170001,15,4084,-17.595,-69.4775,2023,8,31,,2023-08-31
170001,15,4084,-17.595,-69.4775,2023,9,1,,2023-09-01
170001,15,4084,-17.595,-69.4775,2023,9,2,,2023-09-02
170001,15,4084,-17.595,-69.4775,2023,9,3,,2023-09-03
170001,15,4084,-17.595,-69.4775,2023,9,4,,2023-09-04
170001,15,4084,-17.595,-69.4775,2023,9,5,,2023-09-05
170001,15,4084,-17.595,-69.4775,2023,9,6,,2023-09-06
170001,15,4084,-17.595,-69.4775,2023,9,7,,2023-09-07
170001,15,4084,-17.595,-69.4775,2023,9,8,,2023-09-08
170001,15,4084,-17.595,-69.4775,2023,9,9,,2023-09-09
170001,15,4084,-17.595,-69.4775,2023,9,10,,2023-09-10
170001,15,4084,-17.595,-69.4775,2023,9,11,,2023-09-11
170001,15,4084,-17.595,-69.4775,2023,9,12,,2023-09-12
170001,15,4084,-17.595,-69.4775,2023,9,13,,2023-09-13
170001,15,4084,-17.595,-69.4775,2023,9,14,,2023-09-14
170001,15,4084,-17.595,-69.4775,2023,9,15,,2023-09-15
