codigo_estacion,nombre_estacion,region,nombre_region,altura,latitud,longitud,anio,mes,agua_caida
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,1,0.10000000149011612
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,2,1.899999976158142
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,3,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,4,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,5,0.10000000149011612
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,6,0.30000001192092896
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,7,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,8,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,9,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,10,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,11,0.0
180005,"Chacalluta, Arica Ap.",15,Arica y Parinacota,51,-18.35555,-70.34028,2025,12,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,1,11.399999618530273
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,2,4.900000095367432
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,3,13.800000190734863
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,4,0.6000000238418579
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,5,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,6,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,7,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,8,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,9,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,10,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,11,0.699999988079071
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2021,12,24.200000762939453
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,1,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,2,20.299999237060547
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,3,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,4,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,5,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,6,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,7,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,8,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,9,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,10,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,11,0.4000000059604645
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2022,12,38.099998474121094
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,1,47.099998474121094
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,2,41.20000076293945
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,3,45.900001525878906
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,4,2.700000047683716
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,5,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,6,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,7,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,8,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,9,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,10,0.5
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,11,7.300000190734863
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2023,12,6.699999809265137
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,1,9.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,2,72.69999694824219
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,3,24.600000381469727
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,4,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,5,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,6,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,7,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,8,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,9,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,10,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,11,10.399999618530273
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2024,12,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,1,78.0999984741211
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,2,111.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,3,36.400001525878906
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,4,2.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,5,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,6,5.699999809265137
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,7,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,8,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,9,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,10,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,11,0.0
180017,Putre,15,Arica y Parinacota,3532,-18.20000,-69.56250,2025,12,1.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,1,0.10000000149011612
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,2,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,3,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,4,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,5,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,6,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,7,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,8,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,9,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,10,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,11,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2021,12,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,1,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,2,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,3,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,4,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,5,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,6,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,7,1.399999976158142
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,8,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,9,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,10,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,11,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2022,12,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,1,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,2,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,3,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,4,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,5,0.10000000149011612
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,6,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,7,0.4000000059604645
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,8,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,9,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,10,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,11,0.20000000298023224
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2023,12,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,1,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,2,0.10000000149011612
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,3,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,4,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,5,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,6,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,7,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,8,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,9,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,10,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,11,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2024,12,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,1,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,2,0.30000001192092896
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,3,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,4,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,5,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,6,0.0
180018,"Defensa Civil, Arica",15,Arica y Parinacota,71,-18.49111,-70.30139,2025,7,0.0
